Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52723.1524,NA,16.32170000000000,15.76800000000000,0.93890000000000,3.95350000000000,4.0703,NA,52708.6652,15.4261,14.4872,0.9389,14.8722,3.5685,3.5113,0.0572,1.7073,52708.6652,19.1859,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52740.1579,NA,17.00550000000000,17.02240000000000,0.80420000000000,3.96590000000000,4.0872,NA,52724.0913,16.8708,16.0666,0.8042,16.4231,3.6094,3.5694,0.0400,-1.5963,52724.0913,20.3548,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52756.4091,NA,16.25120000000000,16.19440000000000,0.79650000000000,3.91610000000000,4.0304,NA,52740.9621,16.2435,15.4470,0.7965,15.8069,3.5562,3.4995,0.0567,0.6764,52740.9621,20.5187,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52773.4417,NA,17.03260000000000,17.51360000000000,1.17660000000000,4.38440000000000,4.5114,NA,52757.2056,17.4127,16.2361,1.1766,16.9682,3.6523,3.5925,0.0598,-1.2701,52757.2056,22.0272,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52790.3697,NA,16.92800000000000,18.54910000000000,2.12280000000000,4.83790000000000,6.1325,NA,52774.6183,17.8742,15.7514,2.1228,17.0116,3.5777,3.5081,0.0696,-1.1364,52774.6183,24.5642,32.6032
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52806.9493,NA,16.57960000000000,15.32800000000000,1.58940000000000,4.67840000000000,4.8809,NA,52792.4925,16.0462,14.4568,1.5894,15.0785,4.0567,3.9798,0.0769,2.5462,52792.4925,23.9183,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52823.8158,NA,16.86650000000000,16.26240000000000,0.85630000000000,4.09380000000000,4.2768,NA,52808.5387,16.1334,15.2771,0.8563,15.7088,3.6621,3.6195,0.0426,-0.2162,52808.5387,24.1550,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52840.0631,NA,16.24730000000000,16.14330000000000,0.80930000000000,4.02070000000000,4.1728,NA,52824.6721,16.2003,15.3910,0.8093,15.7749,3.6368,3.5705,0.0663,-0.0099,52824.6721,24.2936,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52856.5095,NA,16.44640000000000,16.31940000000000,0.79370000000000,3.90980000000000,4.0458,NA,52840.8724,16.4308,15.6371,0.7937,15.9863,3.5606,3.4996,0.0610,-0.1191,52840.8724,24.4295,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52873.1859,NA,16.67640000000000,17.17270000000000,0.76050000000000,4.27460000000000,4.5421,NA,52857.3032,16.6432,15.8827,0.7605,16.2509,3.9064,3.8377,0.0687,-0.7419,52857.3032,25.6736,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52890.0722,NA,16.88630000000000,17.39320000000000,1.82410000000000,4.82580000000000,5.0490,NA,52873.9464,17.9499,16.1258,1.8241,17.1459,3.8057,3.7154,0.0903,-0.7500,52873.9464,27.0067,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52907.1148,NA,17.04260000000000,16.10880000000000,1.01680000000000,3.98830000000000,4.1152,NA,52891.8963,16.2353,15.2185,1.0168,15.6372,3.5696,3.4999,0.0697,1.8411,52891.8963,11.2574,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52923.5047,NA,16.38990000000000,16.54430000000000,1.12460000000000,4.14620000000000,4.2696,NA,52908.1316,16.4977,15.3731,1.1246,15.8389,3.6804,3.6286,0.0518,-0.3090,52908.1316,11.8455,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52940.0951,NA,16.59040000000000,16.77730000000000,1.02420000000000,4.34060000000000,4.4565,NA,52924.6293,16.4900,15.4658,1.0242,16.0382,3.7682,3.7246,0.0436,-0.2796,52924.6293,12.6385,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52956.7515,NA,16.65640000000000,16.20550000000000,1.04490000000000,3.86790000000000,4.0056,NA,52941.1193,16.6771,15.6322,1.0449,16.0404,3.4597,3.4060,0.0537,0.2845,52941.1193,12.8545,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52973.0495,NA,16.29800000000000,16.57630000000000,1.01340000000000,4.16640000000000,4.2839,NA,52957.7964,16.2665,15.2531,1.0134,15.7039,3.7156,3.6570,0.0586,0.1008,52957.7964,13.4160,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52990.0106,NA,16.96110000000000,17.05050000000000,1.37200000000000,4.22400000000000,4.3733,NA,52974.0629,17.3197,15.9477,1.3720,16.5812,3.5905,3.5078,0.0827,-0.7840,52974.0629,14.4776,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,53006.8482,NA,16.83760000000000,18.74170000000000,2.15210000000000,4.83970000000000,6.2774,NA,52991.3826,17.6177,15.4656,2.1521,16.4896,3.8157,3.7584,0.0573,-1.4220,52991.3826,9.1975,NA
